"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","","","2","C","Nikola Jokic","DEN","",""
"06cch","","","2","C","Victor Wembanyama","SA","",""
"04qro","","","3","PG","Shai Gilgeous-Alexander","OKC","",""
"04kj6","","","4","PG","Luka Doncic","LAL","",""
"05uib","","","5","PG","Cade Cunningham","DET","",""
"05qsq","","","8","PG","Tyrese Maxey","PHI","",""
"03xmv","","","8","PF","Jayson Tatum","BOS","",""
"05qug","","","9","SG","Anthony Edwards","MIN","",""
"05uiu","","","9","SF","Jalen Johnson","ATL","",""
"031m2","","","10","PF","Giannis Antetokounmpo","MIA","",""
"05qtv","","","11","PG","Tyrese Haliburton","IND","",""
"06v5l","","","12","SF","Cooper Flagg","DAL","",""
"05uie","","","12","PF","Scottie Barnes","TOR","",""
"04ewe","","","14","SG","Donovan Mitchell","CLE","",""
"001aw","","","17","PF","Kevin Durant","HOU","",""
"03ad3","","","17","C","Karl-Anthony Towns","NY","",""
"01enh","","","18","PG","Stephen Curry","GS","",""
"042n4","","","21","PG","Jamal Murray","DEN","",""
"05uiq","","","21","C","Alperen Sengun","HOU","",""
"04qrk","","","22","PG","Trae Young","WAS","",""
"06ca8","","","23","SF","Amen Thompson","HOU","",""
"05qto","","","24","PG","LaMelo Ball","MIN","",""
"05uus","","","24","SG","Austin Reaves","LAL","",""
"06211","","","25","C","Chet Holmgren","OKC","",""
"01eo6","","","26","PG","James Harden","CLE","",""
"03nwm","","","26","SG","Devin Booker","PHO","",""
"05uig","","","27","PG","Josh Giddey","CHI","",""
"02nf1","","","28","PF","Anthony Davis","WAS","",""
"027oz","","","29","SF","Kawhi Leonard","LAC","",""
"05uid","","","29","PF","Evan Mobley","CLE","",""
"05uir","","","30","SF","Trey Murphy","NO","",""
"04qsa","","","32","PG","Jalen Brunson","NY","",""
"04ewt","","","34","SG","Derrick White","BOS","",""
"04azw","","","34","PF","Lauri Markkanen","UTA","",""
"04ewf","","","37","C","Bam Adebayo","MIA","",""
"0621b","","","37","SG","Jalen Williams","OKC","",""
"05qtj","","","37","SF","Deni Avdija","POR","",""
"0621l","","","39","C","Walker Kessler","LAL","",""
"042n7","","","39","C","Domantas Sabonis","SAC","",""
"04qrj","","","42","C","Jaren Jackson","UTA","",""
"06cca","","","43","SF","Brandon Miller","CHA","",""
"0621c","","","43","C","Jalen Duren","DET","",""
"03lls","","","44","SF","Jaylen Brown","PHI","",""
"06v5n","","","45","SF","Kon Knueppel","CHA","",""
"05qtt","","","47","C","Onyeka Okongwu","ATL","",""
"05qt3","","","47","SG","Desmond Bane","ORL","",""
